"organization_type_choice","country","current_position_choice","years_research_exp","years_program_exp","gender","research_area","program_freq","peer_review","program_lang_choice","code_publishing","code_reuse_inner","code_reuse_outer","devel_practices","devel_practices_freq_version","devel_practices_freq_review","devel_practices_freq_ci","devel_practices_freq_unit","devel_practices_freq_regression","devel_practices_freq_system","code_reviewer_choice","genai_tool_exp_choice","genai_tool_freq","genai_primary_tool_choice","genai_access_mode_choice","genai_lines_accepted","space_s1","space_p1","space_p2","space_a1","space_c1","space_c2","space_e1","space_e2","space_global"
"Higher education","United States of America","Research staff",9,15,"Woman","Other","Daily","Yes","R,Other","Never","Sometimes","Sometimes","Version control,Code testing,Code review","Sometimes","Always",NA,"Never","Never","Never","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",1,2,"Man","Physical sciences","Daily","Yes","Python,C,FORTRAN,Bash","Always","Always","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","Always","Always","Always","Sometimes","A peer in your research group","Google Gemini","Most of the time","Google Gemini","Through a web browser","I don't use genAI to produce code suggestions directly","Strongly disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",7,1,"Woman","Life sciences","Less than once a month","Yes",NA,"Never","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",14,3,"Woman","Life sciences","Monthly","Yes","R","Always","Always","Always","Code testing,Code review",NA,"Always",NA,NA,NA,NA,"A peer in your research group","ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",30,32,"Prefer not to say","Life sciences","Weekly","Yes","R,C,C++,Julia,Bash","Always","Always","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","Always","Always","Always","Sometimes","A peer in your research group","ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",25,20,"Man","Life sciences","Less than once a month","Yes","Stata","Sometimes","Never","Never","Code testing,Code review",NA,"Most of the time",NA,"Never","Most of the time","Most of the time","A supervisor",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",5,12,"Man","Physical sciences","Daily","Yes","Python,C++","Most of the time","About half the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Most of the time","About half the time","Sometimes","Most of the time","About half the time","About half the time",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",7,9,"Man","Life sciences","Weekly","Yes","Python,R,Bash","Sometimes","About half the time","Sometimes","Version control,Code testing,Continuous integration","Most of the time",NA,"Always","Most of the time","Never","Never",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",25,30,"Man","Life sciences","Daily","Yes","Python,C,C++,MATLAB,Java","About half the time","Most of the time","Sometimes","Version control","Most of the time",NA,NA,NA,NA,NA,NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",3,10,"Man","Engineering","Daily","Yes","Python,MATLAB,Bash","Never","Sometimes","Never","Version control,Code testing,Code review","Always","Never",NA,"Sometimes","Never","Never",NA,"ChatGPT","About half the time","ChatGPT","With a desktop app","10-50 lines","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",4,2,"Woman","Geosciences, atmospheric sciences & ocean sciences","Weekly","Yes","R","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,A custom tool provided by organization","Most of the time","A custom tool provided by organization","Through a web browser","5-10 lines","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",1,4,"Man","Life sciences","Less than once a month","I'm not sure","Other","About half the time","Most of the time","Sometimes","Code testing,Code review",NA,"Sometimes",NA,"Sometimes","Sometimes","Sometimes","A supervisor","ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",3,5,"Man","Engineering","Daily","Yes","Python","Sometimes","Sometimes","Sometimes","Version control,Code testing,Code review","About half the time","Most of the time",NA,"Most of the time","Sometimes","Sometimes","A peer in your research group","ChatGPT","About half the time","ChatGPT","Through a web browser","10-50 lines","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",2,3,"Prefer not to say","Computer and information services","Daily","Yes","Python,JavaScript","Most of the time","Always","Sometimes","Version control,Code testing,Code review,Continuous integration","Most of the time","Always","Sometimes","Always","About half the time","Sometimes","A supervisor","ChatGPT,GitHub Copilot,Google Gemini","Most of the time","Google Gemini","Through a web browser","5-10 lines","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",10,14,"Woman","Life sciences","Daily","Yes","Python","Most of the time","Most of the time","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"A custom tool provided by organization","About half the time",NA,"Through a web browser","5-10 lines","Somewhat disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Faculty",15,10,"Man","Social sciences","Weekly","Yes","Python,R","Most of the time","Most of the time","Sometimes","Version control,Code review","About half the time","About half the time",NA,NA,NA,NA,"A peer in your research group","ChatGPT,GitHub Copilot","About half the time","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree"
"Higher education","United States of America","Faculty",16,35,"Woman","Other","Weekly","Yes","R","Always","Always","Always","Version control,Code testing,Code review","Always","Always",NA,"Never","Never","Never","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",5,5,"Man","Social sciences","Daily","Yes","Python,R,Stata","Sometimes","Most of the time","Sometimes","Code testing,Code review",NA,"Sometimes",NA,"Most of the time","Sometimes","Sometimes","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",9,0,"Woman","Life sciences","Daily","Yes","MATLAB","Always","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot","Sometimes",NA,"Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",9,16,"Man","Life sciences","Daily","Yes","C++,MATLAB,Bash","Sometimes","Always","Never","Version control,Code testing,Code review,Continuous integration","Always","Always","Never","Sometimes","Never","Never","A supervisor",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",3,3,"Man","Physical sciences","Daily","Yes","Python,FORTRAN,Bash","Most of the time","Sometimes","Never","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"Claude","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",7,7,"Woman","Life sciences","Daily","Yes","Python,R,C,C++","Always","Always","Always","Version control,Code review","Most of the time","Always",NA,NA,NA,NA,"A peer in your research group","ChatGPT,A custom tool provided by organization","Always","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",30,30,"Man","Social sciences","Weekly","Yes","R","About half the time","Sometimes","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","About half the time","Sometimes","Sometimes","About half the time","A peer in your research group","ChatGPT,Google Gemini,Claude","Sometimes","ChatGPT","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",5,5,"Man","Engineering","Weekly","Yes","Python,FORTRAN","Never","Most of the time","Never","Code testing,Code review",NA,"Most of the time",NA,"Never","Never","Never","A peer in your research group","ChatGPT","About half the time","ChatGPT","Through a web browser","5-10 lines","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",10,3,"Woman","Geosciences, atmospheric sciences & ocean sciences","Weekly","Yes","R","Most of the time","Most of the time","Never","Version control,Code testing","Most of the time",NA,NA,"Never","Most of the time","Never",NA,"ChatGPT,GitHub Copilot","About half the time","ChatGPT","Through a web browser","1-5 lines","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",2,NA,"Prefer not to say","Engineering","Daily","Yes","FORTRAN","Never","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser,With a mobile app","10-50 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
